species,latitude,longitude,country,date,elevation,temperature,precipitation,NDVI
Gallotia,28.98078,-13.645457,Spain,2025-01-24,369.0,18.1,160.0,0.10977391304347825
Gallotia,28.978272,-13.640883,Spain,2025-01-24,538.0,17.9,163.0,0.15833478260869566
Gallotia,28.302567,-16.573477,Spain,2025-01-24,2077.0,10.6,493.0,0.15106956521739132
Gallotia,28.74,-13.88,Spain,2025-01-24,20.0,19.8,123.0,0.12186956521739131
Gallotia,27.744027,-15.596748,Spain,2025-01-24,9.0,20.7,149.0,0.22393333333333337
Gallotia,28.764297,-13.816197,Spain,2025-01-25,10.0,,,-0.01239375
Fringilla polatzeki,27.882075,-15.481701,Spain,2025-01-04T16:24:23Z,262.0,18.8,202.0,0.14278260869565218
Fringilla polatzeki,27.802805,-15.692988,Spain,2025-01-07T11:41Z,132.0,19.9,185.0,0.12701739130434783
Fringilla polatzeki,27.840171,-15.540595,Spain,2025-04-15T16:02,828.0,16.5,275.0,0.19868260869565219
Fringilla polatzeki,27.877188,-15.464955,Spain,2024-05-18T12:18,146.0,19.5,180.0,0.11820434782608695
Fringilla polatzeki,27.92201,-15.417474,Spain,2024-05-18T12:18,178.0,20.1,158.0,0.17553478260869565
Fringilla polatzeki,27.969639,-15.58254,Spain,2024-05-18T12:18,1711.0,12.1,394.0,0.4450521739130435
Fringilla polatzeki,27.922095,-15.530839,Spain,2024-05-18T12:18,928.0,15.4,315.0,0.27459130434782614
Fringilla polatzeki,27.926935,-15.599161,Spain,2024-06-08T14:16,1225.0,14.2,351.0,0.25361739130434785
Fringilla polatzeki,27.815107,-15.510653,Spain,2024-06-08T14:15,295.0,19.3,184.0,0.14755652173913042
Fringilla polatzeki,27.867041,-15.485931,Spain,2024-07-22T14:55,327.0,19.6,178.0,0.1272608695652174
Fringilla polatzeki,27.886151,-15.476176,Spain,2024-07-22T14:58,430.0,18.8,202.0,0.1719217391304348
Fringilla polatzeki,27.93321,-15.557823,Spain,2024-11-20T17:51:28Z,784.0,16.0,305.0,0.35566521739130436
Fringilla polatzeki,27.850375,-15.60084,Spain,2024-11-26T12:26Z,520.0,19.1,202.0,0.1962608695652174
Fringilla polatzeki,27.915867,-15.750314,Spain,2024-11-26T12:35Z,618.0,18.1,261.0,0.19865652173913043
Fringilla polatzeki,27.942894,-15.55123,Spain,2024-11-26T15:12Z,1195.0,14.4,342.0,0.35641739130434785
Fringilla polatzeki,27.867441,-15.579773,Spain,2024-11-26T15:21Z,969.0,16.3,290.0,0.21867391304347827
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-01-04,1669.0,12.1,394.0,0.6362260869565217
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,12.4,392.0,0.3889304347826087
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,12.4,392.0,0.3889304347826087
Fringilla polatzeki,27.944025,-15.694351,Spain,2023-01-01,1274.0,15.4,341.0,0.37012173913043483
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-29,1682.0,12.4,392.0,0.3889304347826087
