species,latitude,longitude,country,date,elevation,NDVI,temperature_C
Gallotia,28.74,-13.88,Spain,2025-01-24,20.0,1307.0,
Gallotia,27.744027,-15.596748,Spain,2025-01-24,9.0,3060.0,24.1
Gallotia,28.764297,-13.816197,Spain,2025-01-25,10.0,,23.1
Fringilla polatzeki,27.882075,-15.481701,Spain,2025-01-04T16:24:23Z,262.0,1762.0,21.4
Fringilla polatzeki,27.802805,-15.692988,Spain,2025-01-07T11:41Z,132.0,1941.0,22.4
Fringilla polatzeki,27.840171,-15.540595,Spain,2025-04-15T16:02,828.0,2228.0,19.7
Fringilla polatzeki,27.877188,-15.464955,Spain,2024-05-18T12:18,146.0,1523.0,21.4
Fringilla polatzeki,27.92201,-15.417474,Spain,2024-05-18T12:18,178.0,1880.0,23.5
Fringilla polatzeki,27.969639,-15.58254,Spain,2024-05-18T12:18,1711.0,5354.0,14.7
Fringilla polatzeki,27.922095,-15.530839,Spain,2024-05-18T12:18,928.0,3560.0,16.0
Fringilla polatzeki,27.926935,-15.599161,Spain,2024-06-08T14:16,1225.0,4287.0,15.5
Fringilla polatzeki,27.815107,-15.510653,Spain,2024-06-08T14:15,295.0,1466.0,22.2
Fringilla polatzeki,27.867041,-15.485931,Spain,2024-07-22T14:55,327.0,1062.0,22.8
Fringilla polatzeki,27.886151,-15.476176,Spain,2024-07-22T14:58,430.0,2330.0,21.4
Fringilla polatzeki,27.93321,-15.557823,Spain,2024-11-20T17:51:28Z,784.0,4063.0,16.3
Fringilla polatzeki,27.850375,-15.60084,Spain,2024-11-26T12:26Z,520.0,2370.0,20.4
Fringilla polatzeki,27.915867,-15.750314,Spain,2024-11-26T12:35Z,618.0,2267.0,17.7
Fringilla polatzeki,27.942894,-15.55123,Spain,2024-11-26T15:12Z,1195.0,4062.0,16.3
Fringilla polatzeki,27.867441,-15.579773,Spain,2024-11-26T15:21Z,969.0,2730.0,20.4
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-01-04,1669.0,7264.0,14.7
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,5053.0,16.7
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-08,1682.0,5053.0,16.7
Fringilla polatzeki,27.944025,-15.694351,Spain,2023-01-01,1274.0,4261.0,16.8
Fringilla polatzeki,27.970346,-15.612688,Spain,2023-01-29,1682.0,5053.0,16.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-03,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-13,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-14,1669.0,7264.0,14.7
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-02-16,1125.0,6710.0,16.7
Fringilla polatzeki,27.931227,-15.67752,Spain,2023-02-13,988.0,5460.0,16.8
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-02-17,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-04,1669.0,7264.0,14.7
Fringilla polatzeki,27.966726,-15.583581,Spain,2023-03-09,1668.0,7264.0,14.7
Fringilla polatzeki,27.960989,-15.589557,Spain,2023-03-09,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-07,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-12,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-03-15,1669.0,7264.0,14.7
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20,1125.0,6710.0,16.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-18,1641.0,5945.0,14.7
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21,1238.0,4829.0,16.8
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-03-25,1641.0,5945.0,14.7
Fringilla polatzeki,27.923147,-15.670699,Spain,2023-03-26,880.0,3011.0,16.8
Fringilla polatzeki,27.942646,-15.66897,Spain,2023-03-21,1238.0,4829.0,16.8
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-03-20,1125.0,6710.0,16.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-06,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-13,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-29,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-05-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.96127,-15.584363,Spain,2023-05-01,1693.0,7104.0,14.7
Fringilla polatzeki,27.936111,-15.666739,Spain,2023-05-01,1140.0,4301.0,16.8
Fringilla polatzeki,27.960382,-15.589264,Spain,2023-05-02,1646.0,5511.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-04,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-03,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12,1641.0,5945.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-12,1641.0,5945.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-06-28,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-06-30,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-01,1641.0,5945.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-05,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-27,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,5945.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,5945.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-07-31,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-07-31,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-08-05,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-08-17,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-09-01,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-09-14,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-09-14,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-09-28,1669.0,7264.0,14.7
Fringilla polatzeki,27.958742,-15.590644,Spain,2023-10-09,1661.0,5321.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-11-07,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-08,1669.0,7264.0,14.7
Fringilla polatzeki,27.943987,-15.664331,Spain,2023-11-12,1212.0,5257.0,16.8
Fringilla polatzeki,27.931995,-15.676987,Spain,2023-11-13,992.0,5460.0,16.8
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-14,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-14,1669.0,7264.0,14.7
Fringilla polatzeki,27.96105,-15.589514,Spain,2023-11-17,1641.0,5945.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-11-30,1669.0,7264.0,14.7
Fringilla polatzeki,27.931995,-15.676987,Spain,2023-11-13,992.0,5460.0,16.8
Fringilla polatzeki,27.82419,-15.450059,Spain,2023-12-16T14:13Z,56.0,1035.0,24.0
Fringilla polatzeki,27.99083,-15.760116,Spain,2023-12-07T10:14:37Z,261.0,1456.0,21.6
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-07,1669.0,7264.0,14.7
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-12-09,1125.0,6710.0,16.7
Fringilla polatzeki,27.951714,-15.65189,Spain,2023-12-09,1125.0,6710.0,16.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-16,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-16,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-18,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-19,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-27,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-27,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-29,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-30,1669.0,7264.0,14.7
Fringilla polatzeki,27.966116,-15.584664,Spain,2023-12-30,1669.0,7264.0,14.7
Fringilla polatzeki,27.951714,-15.65189,Spain,2022-01-03,1125.0,6710.0,16.7
Fringilla polatzeki,27.927622,-15.677665,Spain,2022-01-05,968.0,5460.0,16.8
Fringilla polatzeki,27.966116,-15.584664,Spain,2022-01-05,1669.0,7264.0,14.7
Fringilla polatzeki,27.938354,-15.673881,Spain,2022-01-21,1247.0,4857.0,16.8
Fringilla polatzeki,27.963891,-15.670742,Spain,2022-02-20T13:26,717.0,3299.0,16.7
